terrainid,tx,tz,surface_height
88,1000540,1003360,625.372
89,1000550,1003360,624.173
90,1000560,1003360,623.057
91,1000570,1003360,621.893
92,1000580,1003360,620.675
93,1000590,1003360,619.445
94,1000600,1003360,618.498
95,1000610,1003360,617.732
96,1000620,1003360,617.273
97,1000630,1003360,617.194
98,1000640,1003360,617.614
99,1000650,1003360,618.419
100,1000660,1003360,619.791
101,999660,1003370,702.439
102,999670,1003370,701.131
103,999680,1003370,699.945
104,999690,1003370,698.839
105,999700,1003370,697.865
106,999710,1003370,696.96
107,999720,1003370,696.174
108,999730,1003370,695.465
109,999740,1003370,694.84
110,999750,1003370,694.292
111,999760,1003370,693.75
112,999770,1003370,693.229
113,999780,1003370,692.84
114,999790,1003370,692.473
115,999800,1003370,692.124
116,999810,1003370,691.787
117,999820,1003370,691.552
118,999830,1003370,691.335
119,999840,1003370,691.14
120,999850,1003370,690.953
121,999860,1003370,690.865
122,999870,1003370,690.835
123,999880,1003370,690.755
124,999890,1003370,690.675
125,999900,1003370,690.503
126,999910,1003370,690.346
127,999920,1003370,690.246
128,999930,1003370,690.242
129,999940,1003370,690.209
130,999950,1003370,690.138
131,999960,1003370,690.056
132,999970,1003370,690.056
133,999980,1003370,689.978
134,999990,1003370,689.989
135,1000000,1003370,690.042
136,1000010,1003370,690.038
137,1000020,1003370,690.083
138,1000030,1003370,690.004
139,1000040,1003370,689.695
140,1000050,1003370,689.144
141,1000060,1003370,688.388
142,1000070,1003370,687.498
143,1000080,1003370,686.579
144,1000090,1003370,685.558
145,1000100,1003370,684.417
146,1000110,1003370,683.357
147,1000120,1003370,682.213
148,1000130,1003370,681.078
149,1000140,1003370,680.268
150,1000150,1003370,679.431
151,1000160,1003370,678.243
152,1000170,1003370,676.798
153,1000180,1003370,674.89
154,1000190,1003370,672.983
155,1000200,1003370,671.321
156,1000210,1003370,669.79
157,1000220,1003370,668.113
158,1000230,1003370,666.356
159,1000240,1003370,664.706
160,1000250,1003370,662.677
161,1000260,1003370,661.131
162,1000270,1003370,659.464
163,1000280,1003370,659.041
164,1000290,1003370,658.726
165,1000300,1003370,657.993
166,1000310,1003370,657.64
167,1000320,1003370,657.806
168,1000330,1003370,658.258
169,1000340,1003370,659.407
170,1000350,1003370,659.21
171,1000360,1003370,658.65
172,1000370,1003370,657.836
173,1000380,1003370,656.145
174,1000390,1003370,654.88
175,1000400,1003370,654.492
176,1000410,1003370,654.082
177,1000420,1003370,653.197
178,1000430,1003370,651.752
179,1000440,1003370,649.545
180,1000450,1003370,647.105
181,1000460,1003370,643.785
182,1000470,1003370,640.295
183,1000480,1003370,638.754
184,1000490,1003370,636.689
185,1000500,1003370,634.081
186,1000510,1003370,631.664
187,1000520,1003370,629.695
188,1000530,1003370,628.021
189,1000540,1003370,626.514
190,1000550,1003370,625.159
191,1000560,1003370,623.915
192,1000570,1003370,622.568
193,1000580,1003370,621.139
194,1000590,1003370,619.665
195,1000600,1003370,618.385
196,1000610,1003370,617.471
197,1000620,1003370,616.849
198,1000630,1003370,616.585
199,1000640,1003370,616.782
200,1000650,1003370,617.448
201,1000660,1003370,618.628
202,999660,1003380,702.23
203,999670,1003380,701.007
204,999680,1003380,699.852
205,999690,1003380,698.767
206,999700,1003380,697.8
207,999710,1003380,696.929
208,999720,1003380,696.141
209,999730,1003380,695.465
210,999740,1003380,694.85
211,999750,1003380,694.346
212,999760,1003380,693.755
213,999770,1003380,693.241
214,999780,1003380,692.863
215,999790,1003380,692.51
216,999800,1003380,692.192
217,999810,1003380,691.895
218,999820,1003380,691.694
219,999830,1003380,691.463
220,999840,1003380,691.285
221,999850,1003380,691.098
222,999860,1003380,691.044
223,999870,1003380,691.049
224,999880,1003380,690.991
225,999890,1003380,690.875
226,999900,1003380,690.73
227,999910,1003380,690.614
228,999920,1003380,690.555
229,999930,1003380,690.571
230,999940,1003380,690.61
231,999950,1003380,690.524
232,999960,1003380,690.429
233,999970,1003380,690.43
234,999980,1003380,690.405
235,999990,1003380,690.494
236,1000000,1003380,690.602
237,1000010,1003380,690.658
238,1000020,1003380,690.811
239,1000030,1003380,690.71
240,1000040,1003380,690.391
241,1000050,1003380,689.742
242,1000060,1003380,688.972
243,1000070,1003380,687.989
244,1000080,1003380,686.985
245,1000090,1003380,685.908
246,1000100,1003380,684.727
247,1000110,1003380,683.528
248,1000120,1003380,682.344
249,1000130,1003380,681.012
250,1000140,1003380,680.054
251,1000150,1003380,679.034
252,1000160,1003380,677.932
253,1000170,1003380,676.615
254,1000180,1003380,674.743
255,1000190,1003380,672.927
256,1000200,1003380,671.464
257,1000210,1003380,669.765
258,1000220,1003380,667.96
259,1000230,1003380,666.562
260,1000240,1003380,665.024
261,1000250,1003380,663.328
262,1000260,1003380,661.784
263,1000270,1003380,660.564
264,1000280,1003380,660.478
265,1000290,1003380,660.126
266,1000300,1003380,659.441
267,1000310,1003380,659.096
268,1000320,1003380,659.366
269,1000330,1003380,659.299
270,1000340,1003380,660.615
271,1000350,1003380,660.416
272,1000360,1003380,660.473
273,1000370,1003380,659.201
274,1000380,1003380,657.107
275,1000390,1003380,656.42
276,1000400,1003380,655.732
277,1000410,1003380,655.712
278,1000420,1003380,656.191
279,1000430,1003380,654.201
280,1000440,1003380,652.413
281,1000450,1003380,649.093
282,1000460,1003380,645.557
283,1000470,1003380,642.149
284,1000480,1003380,640.918
285,1000490,1003380,638.769
286,1000500,1003380,636.199
287,1000510,1003380,633.596
288,1000520,1003380,631.28
289,1000530,1003380,629.39
290,1000540,1003380,627.549
291,1000550,1003380,626.045
292,1000560,1003380,624.662
293,1000570,1003380,623.114
294,1000580,1003380,621.496
295,1000590,1003380,619.85
296,1000600,1003380,618.425
297,1000610,1003380,617.296
298,1000620,1003380,616.475
299,1000630,1003380,616.004
300,1000640,1003380,615.976
301,1000650,1003380,616.501
302,1000660,1003380,617.483
303,999660,1003390,702.053
304,999670,1003390,700.823
305,999680,1003390,699.693
306,999690,1003390,698.671
307,999700,1003390,697.756
308,999710,1003390,696.878
309,999720,1003390,696.126
310,999730,1003390,695.46
311,999740,1003390,694.86
312,999750,1003390,694.303
313,999760,1003390,693.733
314,999770,1003390,693.263
315,999780,1003390,692.858
316,999790,1003390,692.547
317,999800,1003390,692.25
318,999810,1003390,692.035
319,999820,1003390,691.8
320,999830,1003390,691.61
321,999840,1003390,691.429
322,999850,1003390,691.239
323,999860,1003390,691.205
324,999870,1003390,691.173
325,999880,1003390,691.148
326,999890,1003390,691.051
327,999900,1003390,690.924
328,999910,1003390,690.898
329,999920,1003390,690.835
330,999930,1003390,690.895
331,999940,1003390,690.946
332,999950,1003390,690.909
333,999960,1003390,690.812
334,999970,1003390,690.795
335,999980,1003390,690.822
336,999990,1003390,690.996
337,1000000,1003390,691.116
338,1000010,1003390,691.214
339,1000020,1003390,691.334
340,1000030,1003390,691.237
341,1000040,1003390,690.922
342,1000050,1003390,690.307
343,1000060,1003390,689.44
344,1000070,1003390,688.405
345,1000080,1003390,687.348
346,1000090,1003390,686.18
347,1000100,1003390,684.954
348,1000110,1003390,683.66
349,1000120,1003390,682.364
350,1000130,1003390,681.03
351,1000140,1003390,680.021
352,1000150,1003390,678.806
353,1000160,1003390,677.645
354,1000170,1003390,676.325
355,1000180,1003390,674.596
356,1000190,1003390,672.984
357,1000200,1003390,671.362
358,1000210,1003390,669.768
359,1000220,1003390,667.936
360,1000230,1003390,666.443
361,1000240,1003390,665.213
362,1000250,1003390,663.803
363,1000260,1003390,662.382
364,1000270,1003390,661.648
365,1000280,1003390,661.232
366,1000290,1003390,660.887
367,1000300,1003390,660.587
368,1000310,1003390,660.826
369,1000320,1003390,660.765
370,1000330,1003390,660.694
371,1000340,1003390,661.735
372,1000350,1003390,661.614
373,1000360,1003390,661.183
374,1000370,1003390,660.208
375,1000380,1003390,659.186
376,1000390,1003390,658.658
377,1000400,1003390,657.106
378,1000410,1003390,657.716
379,1000420,1003390,658.508
380,1000430,1003390,656.796
381,1000440,1003390,654.177
382,1000450,1003390,650.178
383,1000460,1003390,646.646
384,1000470,1003390,644.339
385,1000480,1003390,642.653
386,1000490,1003390,640.341
387,1000500,1003390,638.012
388,1000510,1003390,635.277
389,1000520,1003390,632.69
390,1000530,1003390,630.49
391,1000540,1003390,628.522
392,1000550,1003390,626.879
393,1000560,1003390,625.259
394,1000570,1003390,623.666
395,1000580,1003390,621.809
396,1000590,1003390,620.05
397,1000600,1003390,618.524
398,1000610,1003390,617.202
399,1000620,1003390,616.183
400,1000630,1003390,615.517
401,1000640,1003390,615.303
402,1000650,1003390,615.631
403,1000660,1003390,616.405
404,999660,1003400,701.879
405,999670,1003400,700.681
406,999680,1003400,699.543
407,999690,1003400,698.558
408,999700,1003400,697.641
409,999710,1003400,696.747
410,999720,1003400,695.994
411,999730,1003400,695.341
412,999740,1003400,694.725
413,999750,1003400,694.171
414,999760,1003400,693.663
415,999770,1003400,693.221
416,999780,1003400,692.885
417,999790,1003400,692.562
418,999800,1003400,692.324
419,999810,1003400,692.099
420,999820,1003400,691.886
421,999830,1003400,691.713
422,999840,1003400,691.542
423,999850,1003400,691.378
424,999860,1003400,691.303
425,999870,1003400,691.296
426,999880,1003400,691.299
427,999890,1003400,691.198
428,999900,1003400,691.156
429,999910,1003400,691.156
430,999920,1003400,691.088
431,999930,1003400,691.166
432,999940,1003400,691.235
433,999950,1003400,691.251
434,999960,1003400,691.187
435,999970,1003400,691.142
436,999980,1003400,691.216
437,999990,1003400,691.395
438,1000000,1003400,691.554
439,1000010,1003400,691.635
440,1000020,1003400,691.711
441,1000030,1003400,691.64
442,1000040,1003400,691.305
443,1000050,1003400,690.637
444,1000060,1003400,689.701
445,1000070,1003400,688.751
446,1000080,1003400,687.637
447,1000090,1003400,686.423
448,1000100,1003400,685.078
449,1000110,1003400,683.775
450,1000120,1003400,682.438
451,1000130,1003400,681.026
452,1000140,1003400,679.919
453,1000150,1003400,678.772
454,1000160,1003400,677.467
455,1000170,1003400,675.947
456,1000180,1003400,674.435
457,1000190,1003400,673.062
458,1000200,1003400,671.406
459,1000210,1003400,669.7
460,1000220,1003400,668.202
461,1000230,1003400,666.688
462,1000240,1003400,665.419
463,1000250,1003400,664.334
464,1000260,1003400,663.29
465,1000270,1003400,662.86
466,1000280,1003400,662.194
467,1000290,1003400,661.812
468,1000300,1003400,661.482
469,1000310,1003400,662.004
470,1000320,1003400,662.261
471,1000330,1003400,662.044
472,1000340,1003400,662.782
473,1000350,1003400,662.618
474,1000360,1003400,661.818
475,1000370,1003400,661.71
476,1000380,1003400,660.199
477,1000390,1003400,659.396
478,1000400,1003400,659.323
479,1000410,1003400,660.152
480,1000420,1003400,660.26
481,1000430,1003400,657.499
482,1000440,1003400,654.923
483,1000450,1003400,650.96
484,1000460,1003400,647.193
485,1000470,1003400,645.97
486,1000480,1003400,644.574
487,1000490,1003400,642.007
488,1000500,1003400,639.957
489,1000510,1003400,636.831
490,1000520,1003400,633.935
491,1000530,1003400,631.439
492,1000540,1003400,629.454
493,1000550,1003400,627.695
494,1000560,1003400,625.891
495,1000570,1003400,624.035
496,1000580,1003400,622.164
497,1000590,1003400,620.36
498,1000600,1003400,618.674
499,1000610,1003400,617.198
500,1000620,1003400,616.004
501,1000630,1003400,615.109
502,1000640,1003400,614.726
503,1000650,1003400,614.917
504,1000660,1003400,615.474
505,999660,1003410,701.699
506,999670,1003410,700.546
507,999680,1003410,699.427
508,999690,1003410,698.388
509,999700,1003410,697.439
510,999710,1003410,696.59
511,999720,1003410,695.809
512,999730,1003410,695.196
513,999740,1003410,694.553
514,999750,1003410,694.059
515,999760,1003410,693.604
516,999770,1003410,693.204
517,999780,1003410,692.842
518,999790,1003410,692.553
519,999800,1003410,692.316
520,999810,1003410,692.136
521,999820,1003410,691.932
522,999830,1003410,691.813
523,999840,1003410,691.641
524,999850,1003410,691.456
525,999860,1003410,691.406
526,999870,1003410,691.398
527,999880,1003410,691.402
528,999890,1003410,691.388
529,999900,1003410,691.353
530,999910,1003410,691.386
531,999920,1003410,691.341
532,999930,1003410,691.337
533,999940,1003410,691.49
534,999950,1003410,691.522
535,999960,1003410,691.491
536,999970,1003410,691.456
537,999980,1003410,691.544
538,999990,1003410,691.682
539,1000000,1003410,691.812
540,1000010,1003410,691.908
541,1000020,1003410,691.993
542,1000030,1003410,691.939
543,1000040,1003410,691.624
544,1000050,1003410,690.856
545,1000060,1003410,689.982
546,1000070,1003410,689.045
547,1000080,1003410,687.865
548,1000090,1003410,686.629
549,1000100,1003410,685.264
550,1000110,1003410,683.894
551,1000120,1003410,682.525
552,1000130,1003410,681.104
553,1000140,1003410,679.866
554,1000150,1003410,678.666
555,1000160,1003410,677.476
556,1000170,1003410,675.924
557,1000180,1003410,674.29
558,1000190,1003410,672.996
559,1000200,1003410,671.628
560,1000210,1003410,670.04
561,1000220,1003410,668.44
562,1000230,1003410,667.255
563,1000240,1003410,666.174
564,1000250,1003410,665.163
565,1000260,1003410,663.985
566,1000270,1003410,663.347
567,1000280,1003410,663.103
568,1000290,1003410,662.782
569,1000300,1003410,662.74
570,1000310,1003410,662.75
571,1000320,1003410,663.01
572,1000330,1003410,663.127
573,1000340,1003410,663.528
574,1000350,1003410,662.721
575,1000360,1003410,662.516
576,1000370,1003410,662.173
577,1000380,1003410,661.274
578,1000390,1003410,660.768
579,1000400,1003410,661.046
580,1000410,1003410,662.028
581,1000420,1003410,661.273
582,1000430,1003410,658.849
583,1000440,1003410,655.09
584,1000450,1003410,650.793
585,1000460,1003410,649.378
586,1000470,1003410,648.733
587,1000480,1003410,646.3
588,1000490,1003410,643.574
589,1000500,1003410,641.32
590,1000510,1003410,637.808
591,1000520,1003410,634.99
592,1000530,1003410,632.339
593,1000540,1003410,630.344
594,1000550,1003410,628.418
595,1000560,1003410,626.491
596,1000570,1003410,624.514
597,1000580,1003410,622.669
598,1000590,1003410,620.743
599,1000600,1003410,618.893
600,1000610,1003410,617.256
601,1000620,1003410,615.881
602,1000630,1003410,614.838
603,1000640,1003410,614.255
604,1000650,1003410,614.238
605,1000660,1003410,614.581
606,999660,1003420,701.524
607,999670,1003420,700.342
608,999680,1003420,699.223
609,999690,1003420,698.178
610,999700,1003420,697.246
611,999710,1003420,696.394
612,999720,1003420,695.609
613,999730,1003420,695.046
614,999740,1003420,694.452
615,999750,1003420,693.956
616,999760,1003420,693.541
617,999770,1003420,693.186
618,999780,1003420,692.861
619,999790,1003420,692.536
620,999800,1003420,692.315
621,999810,1003420,692.159
622,999820,1003420,691.947
623,999830,1003420,691.784
624,999840,1003420,691.676
625,999850,1003420,691.52
626,999860,1003420,691.474
627,999870,1003420,691.489
628,999880,1003420,691.503
629,999890,1003420,691.515
630,999900,1003420,691.521
631,999910,1003420,691.582
632,999920,1003420,691.602
633,999930,1003420,691.566
634,999940,1003420,691.67
635,999950,1003420,691.699
636,999960,1003420,691.706
637,999970,1003420,691.714
638,999980,1003420,691.798
639,999990,1003420,691.924
640,1000000,1003420,692.074
641,1000010,1003420,692.129
642,1000020,1003420,692.196
643,1000030,1003420,692.128
644,1000040,1003420,691.744
645,1000050,1003420,690.98
646,1000060,1003420,690.115
647,1000070,1003420,689.214
648,1000080,1003420,688.015
649,1000090,1003420,686.776
650,1000100,1003420,685.43
651,1000110,1003420,683.985
652,1000120,1003420,682.626
653,1000130,1003420,681.254
654,1000140,1003420,679.854
655,1000150,1003420,678.627
656,1000160,1003420,677.317
657,1000170,1003420,675.889
658,1000180,1003420,674.273
659,1000190,1003420,673.184
660,1000200,1003420,671.666
661,1000210,1003420,670.157
662,1000220,1003420,668.79
663,1000230,1003420,667.546
664,1000240,1003420,666.598
665,1000250,1003420,665.395
666,1000260,1003420,664.763
667,1000270,1003420,664.066
668,1000280,1003420,663.728
669,1000290,1003420,663.531
670,1000300,1003420,663.68
671,1000310,1003420,663.821
672,1000320,1003420,663.98
673,1000330,1003420,663.943
674,1000340,1003420,664.182
675,1000350,1003420,663.639
676,1000360,1003420,663.566
677,1000370,1003420,663.584
678,1000380,1003420,662.736
679,1000390,1003420,662.125
680,1000400,1003420,662.27
681,1000410,1003420,663.253
682,1000420,1003420,661.483
683,1000430,1003420,658.271
684,1000440,1003420,654.4
685,1000450,1003420,652.782
686,1000460,1003420,651.68
687,1000470,1003420,650.507
688,1000480,1003420,648.166
689,1000490,1003420,644.744
690,1000500,1003420,641.985
691,1000510,1003420,638.568
692,1000520,1003420,635.766
693,1000530,1003420,633.222
694,1000540,1003420,631.122
695,1000550,1003420,629.151
696,1000560,1003420,627.066
697,1000570,1003420,625.002
698,1000580,1003420,623.078
699,1000590,1003420,621.065
700,1000600,1003420,619.148
701,1000610,1003420,617.43
702,1000620,1003420,615.904
703,1000630,1003420,614.672
704,1000640,1003420,613.882
705,1000650,1003420,613.689
706,1000660,1003420,613.79
707,999660,1003430,701.261
708,999670,1003430,700.096
709,999680,1003430,698.968
710,999690,1003430,697.946
711,999700,1003430,697.02
712,999710,1003430,696.159
713,999720,1003430,695.46
714,999730,1003430,694.834
715,999740,1003430,694.315
716,999750,1003430,693.873
717,999760,1003430,693.483
718,999770,1003430,693.191
719,999780,1003430,692.844
720,999790,1003430,692.518
721,999800,1003430,692.268
722,999810,1003430,692.115
723,999820,1003430,691.898
724,999830,1003430,691.781
725,999840,1003430,691.674
726,999850,1003430,691.577
727,999860,1003430,691.527
728,999870,1003430,691.561
729,999880,1003430,691.54
730,999890,1003430,691.574
731,999900,1003430,691.629
732,999910,1003430,691.747
733,999920,1003430,691.773
734,999930,1003430,691.721
735,999940,1003430,691.802
736,999950,1003430,691.82
737,999960,1003430,691.882
738,999970,1003430,691.96
739,999980,1003430,692.053
740,999990,1003430,692.128
741,1000000,1003430,692.243
742,1000010,1003430,692.3
743,1000020,1003430,692.305
744,1000030,1003430,692.142
745,1000040,1003430,691.72
746,1000050,1003430,690.962
747,1000060,1003430,690.197
748,1000070,1003430,689.238
749,1000080,1003430,688.129
750,1000090,1003430,686.864
751,1000100,1003430,685.456
752,1000110,1003430,683.971
753,1000120,1003430,682.69
754,1000130,1003430,681.315
755,1000140,1003430,679.917
756,1000150,1003430,678.579
757,1000160,1003430,677.223
758,1000170,1003430,675.846
759,1000180,1003430,674.6
760,1000190,1003430,673.443
761,1000200,1003430,671.852
762,1000210,1003430,670.313
763,1000220,1003430,669.181
764,1000230,1003430,667.843
765,1000240,1003430,666.888
766,1000250,1003430,666.516
767,1000260,1003430,665.757
768,1000270,1003430,665.225
769,1000280,1003430,664.602
770,1000290,1003430,664.275
771,1000300,1003430,664.426
772,1000310,1003430,664.802
773,1000320,1003430,664.714
774,1000330,1003430,664.658
775,1000340,1003430,664.616
776,1000350,1003430,664.149
777,1000360,1003430,664.315
778,1000370,1003430,664.119
779,1000380,1003430,663.79
780,1000390,1003430,663.517
781,1000400,1003430,663.348
782,1000410,1003430,663.17
783,1000420,1003430,661.154
784,1000430,1003430,658.244
785,1000440,1003430,655.069
786,1000450,1003430,653.421
787,1000460,1003430,652.654
788,1000470,1003430,651.001
789,1000480,1003430,648.728
790,1000490,1003430,645.585
791,1000500,1003430,642.381
792,1000510,1003430,639.148
793,1000520,1003430,636.722
794,1000530,1003430,634.1
795,1000540,1003430,631.91
796,1000550,1003430,629.745
797,1000560,1003430,627.577
798,1000570,1003430,625.48
799,1000580,1003430,623.563
800,1000590,1003430,621.463
801,1000600,1003430,619.463
802,1000610,1003430,617.628
803,1000620,1003430,615.978
804,1000630,1003430,614.562
805,1000640,1003430,613.623
806,1000650,1003430,613.244
807,1000660,1003430,613.12
808,999660,1003440,700.934
809,999670,1003440,699.803
810,999680,1003440,698.689
811,999690,1003440,697.696
812,999700,1003440,696.789
813,999710,1003440,695.946
814,999720,1003440,695.281
815,999730,1003440,694.679
816,999740,1003440,694.207
817,999750,1003440,693.76
818,999760,1003440,693.442
819,999770,1003440,693.156
820,999780,1003440,692.805
821,999790,1003440,692.536
822,999800,1003440,692.251
823,999810,1003440,692.051
824,999820,1003440,691.887
825,999830,1003440,691.778
826,999840,1003440,691.676
827,999850,1003440,691.587
828,999860,1003440,691.568
829,999870,1003440,691.598
830,999880,1003440,691.569
831,999890,1003440,691.618
832,999900,1003440,691.68
833,999910,1003440,691.809
834,999920,1003440,691.833
835,999930,1003440,691.857
836,999940,1003440,691.933
837,999950,1003440,691.933
838,999960,1003440,692.004
839,999970,1003440,692.094
840,999980,1003440,692.204
841,999990,1003440,692.234
842,1000000,1003440,692.319
843,1000010,1003440,692.385
844,1000020,1003440,692.346
845,1000030,1003440,692.07
846,1000040,1003440,691.647
847,1000050,1003440,690.922
848,1000060,1003440,690.189
849,1000070,1003440,689.254
850,1000080,1003440,688.213
851,1000090,1003440,686.971
852,1000100,1003440,685.586
853,1000110,1003440,684.071
854,1000120,1003440,682.716
855,1000130,1003440,681.344
856,1000140,1003440,680.023
857,1000150,1003440,678.71
858,1000160,1003440,677.415
859,1000170,1003440,676.22
860,1000180,1003440,674.904
861,1000190,1003440,673.693
862,1000200,1003440,672.174
863,1000210,1003440,670.719
864,1000220,1003440,669.413
865,1000230,1003440,668.51
866,1000240,1003440,667.741
867,1000250,1003440,667.33
868,1000260,1003440,666.579
869,1000270,1003440,666.137
870,1000280,1003440,665.616
871,1000290,1003440,665.08
872,1000300,1003440,664.868
873,1000310,1003440,665.348
874,1000320,1003440,665.393
875,1000330,1003440,665.154
876,1000340,1003440,664.726
877,1000350,1003440,664.456
878,1000360,1003440,664.36
879,1000370,1003440,664.069
880,1000380,1003440,663.347
881,1000390,1003440,662.8
882,1000400,1003440,662.572
883,1000410,1003440,662.374
884,1000420,1003440,660.672
885,1000430,1003440,657.465
886,1000440,1003440,656.149
887,1000450,1003440,655.118
888,1000460,1003440,653.402
889,1000470,1003440,651.645
890,1000480,1003440,649.36
891,1000490,1003440,646.287
892,1000500,1003440,642.825
893,1000510,1003440,639.481
894,1000520,1003440,637.141
895,1000530,1003440,634.626
896,1000540,1003440,632.531
897,1000550,1003440,630.125
898,1000560,1003440,627.994
899,1000570,1003440,626.122
900,1000580,1003440,623.976
901,1000590,1003440,621.942
902,1000600,1003440,619.86
903,1000610,1003440,617.919
904,1000620,1003440,616.152
905,1000630,1003440,614.569
906,1000640,1003440,613.512
907,1000650,1003440,612.872
908,1000660,1003440,612.611
909,999660,1003450,700.634
910,999670,1003450,699.483
911,999680,1003450,698.405
912,999690,1003450,697.435
913,999700,1003450,696.54
914,999710,1003450,695.733
915,999720,1003450,695.071
916,999730,1003450,694.549
917,999740,1003450,694.063
918,999750,1003450,693.68
919,999760,1003450,693.361
920,999770,1003450,693.037
921,999780,1003450,692.738
922,999790,1003450,692.486
923,999800,1003450,692.247
924,999810,1003450,692.033
925,999820,1003450,691.878
926,999830,1003450,691.76
927,999840,1003450,691.682
928,999850,1003450,691.62
929,999860,1003450,691.612
930,999870,1003450,691.615
931,999880,1003450,691.595
932,999890,1003450,691.634
933,999900,1003450,691.74
934,999910,1003450,691.849
935,999920,1003450,691.868
936,999930,1003450,691.984
937,999940,1003450,692.026
938,999950,1003450,692.034
939,999960,1003450,692.116
940,999970,1003450,692.188
941,999980,1003450,692.253
942,999990,1003450,692.318
943,1000000,1003450,692.362
944,1000010,1003450,692.377
945,1000020,1003450,692.308
946,1000030,1003450,692.007
947,1000040,1003450,691.558
948,1000050,1003450,690.859
949,1000060,1003450,690.109
950,1000070,1003450,689.236
951,1000080,1003450,688.225
952,1000090,1003450,686.989
953,1000100,1003450,685.598
954,1000110,1003450,684.129
955,1000120,1003450,682.742
956,1000130,1003450,681.446
957,1000140,1003450,680.253
958,1000150,1003450,678.84
959,1000160,1003450,677.59
960,1000170,1003450,676.336
961,1000180,1003450,675.014
962,1000190,1003450,673.8
963,1000200,1003450,672.378
964,1000210,1003450,670.985
965,1000220,1003450,669.729
966,1000230,1003450,668.965
967,1000240,1003450,668.328
968,1000250,1003450,667.765
969,1000260,1003450,667.133
970,1000270,1003450,666.639
971,1000280,1003450,666.136
972,1000290,1003450,665.718
973,1000300,1003450,665.381
974,1000310,1003450,665.623
975,1000320,1003450,665.537
976,1000330,1003450,665.39
977,1000340,1003450,665.149
978,1000350,1003450,665.01
979,1000360,1003450,664.591
980,1000370,1003450,663.984
981,1000380,1003450,663.895
982,1000390,1003450,662.859
983,1000400,1003450,661.72
984,1000410,1003450,660.69
985,1000420,1003450,659.596
986,1000430,1003450,658.57
987,1000440,1003450,657.587
988,1000450,1003450,656.754
989,1000460,1003450,654.513
990,1000470,1003450,652.527
991,1000480,1003450,649.7
992,1000490,1003450,646.544
993,1000500,1003450,642.968
994,1000510,1003450,640.277
995,1000520,1003450,637.571
996,1000530,1003450,635.041
997,1000540,1003450,632.769
998,1000550,1003450,630.677
999,1000560,1003450,628.543
1000,1000570,1003450,626.682
1001,1000580,1003450,624.604
1002,1000590,1003450,622.469
1003,1000600,1003450,620.351
1004,1000610,1003450,618.291
1005,1000620,1003450,616.334
1006,1000630,1003450,614.686
1007,1000640,1003450,613.463
1008,1000650,1003450,612.668
1009,1000660,1003450,612.255
1010,999660,1003460,700.312
1011,999670,1003460,699.178
1012,999680,1003460,698.07
1013,999690,1003460,697.13
1014,999700,1003460,696.26
1015,999710,1003460,695.499
1016,999720,1003460,694.932
1017,999730,1003460,694.409
1018,999740,1003460,693.932
1019,999750,1003460,693.547
1020,999760,1003460,693.268
